,objectid,bezeichnung,nr_stadtbezirk,stadtteil,anzahl,bemerkung,x,y,type
339,358,Weishausstr./Luxemburger Str.,3,Klettenberg,1,Weishausstr./Luxemburger Str.,6.933315532374478,50.920534958013064,disabled parking slot
340,359,"Görlinger Zentrum, gegenüb. Nr.26",4,Bocklemünd/Mengenich,1,"Görlinger Zentrum, gegenüb. Nr.26",6.868387975404303,50.979624327430265,disabled parking slot
341,360,Iltisstr.,4,Neuehrenfeld,1,Iltisstr. (vor Hausnummer 18),6.918463745104832,50.95859082980062,disabled parking slot
342,361,Landmannstr./Försterstr.,4,Neuehrenfeld,1,Landmannstr./Försterstr.,6.919368001624303,50.956880074595446,disabled parking slot
343,362,"Stammstr., geg. Gaststätte ""Am Bahnhof""",4,Ehrenfeld,1,"Stammstr., geg. Gaststätte ""Am Bahnhof""",6.919203554817685,50.95145247953233,disabled parking slot
344,363,Subbelrather Str. geg. 260-262,4,Ehrenfeld,2,Subbelrather Str. geg. 260-262,6.918199928385013,50.954469791148114,disabled parking slot
345,364,Baudriplatz,5,Nippes,2,Baudriplatz,6.951573957007109,50.964392533310594,disabled parking slot
346,365,"Lohsestr., geg. 1",5,Nippes,1,"Lohsestr., geg. 1",6.954456237059193,50.959001101334024,disabled parking slot
347,366,Neusser Str./Gürtel vor Eingang U-Bahn,5,Nippes,2,Neusser Str./Gürtel vor Eingang U-Bahn,6.951188929145069,50.97295233359053,disabled parking slot
348,367,Riehler Gürtel (Nebeneingang Zoo),5,Riehl,3,Riehler Gürtel (Nebeneingang Zoo),6.976473668695402,50.963757277565186,disabled parking slot
349,368,Schillstr. geg. Nr. 1,5,Nippes,1,Schillstr. geg. Nr. 1,6.952882334119021,50.96662422320394,disabled parking slot
350,369,Siebachstr. 22b,5,Nippes,1,Siebachstr. 22b,6.950137461447206,50.959646225484676,disabled parking slot
351,370,Siebachstr. geg. Nr. 29-31,5,Nippes,1,Siebachstr. 29,6.950217350544103,50.95932246542913,disabled parking slot
352,371,Bruchstr.,6,Roggendorf/Thenhoven,1,P+R Bruchstr.,6.8526060886839035,51.05165145867853,disabled parking slot
353,372,Hermann-Pünder-Str.,1,Deutz,1,Hermann-Pünder-Str.,6.970865327944892,50.93985795550199,disabled parking slot
354,373,Zülpicher Str.,3,Lindenthal,2,Zülpicher Str.,6.932924986229079,50.92712041465076,disabled parking slot
355,374,Friedrichstr.,1,Neustadt/Süd,1,Friedrichstr. 60,6.941472911683061,50.93077997730233,disabled parking slot
356,375,Rösrather Str. 603,8,Rath/Heumar,2,Parkplatz Bürgerzentrum Kalk,7.0845640111002,50.922443936915975,disabled parking slot
357,376,Aachener Str. 3,1,Neustadt/Süd,2,Aachener Str. 3,6.9370597105678335,50.936422322338615,disabled parking slot
358,377,Aachener Str. 8,1,Neustadt/Süd,2,Aachener Str. 8,6.938036007149737,50.93649972656998,disabled parking slot
359,378,Aachener Str. 96,1,Lindenthal,1,Aachener Str. 96,6.929652066571836,50.93686810109514,disabled parking slot
360,379,Albertusstr. 55,1,Altstadt/Nord,1,Albertusstr. 55,6.943944883145551,50.94070511444186,disabled parking slot
361,380,An der Bottmühle,1,Altstadt/Süd,3,An der Bottmühle 3,6.963053781116095,50.92227578302346,disabled parking slot
362,381,Auf dem Berlich 1,1,Altstadt/Nord,1,Auf dem Berlich 1,6.9477234447494585,50.93901151251245,disabled parking slot
363,382,Bernhard-Letterhaus-Straße 2-4,1,Neustadt/Nord,1,Bernhard-Letterhaus-Str. 2,6.9514633396931185,50.954915419616306,disabled parking slot
364,383,Boissereestr. 1,1,Neustadt/Süd,1,Boissereestr. 1,6.93447245426595,50.93170564545559,disabled parking slot
365,384,Brabanter Str. 2,1,Neustadt/Nord,1,Brabanter Str. 2,6.937574773514046,50.937024864544874,disabled parking slot
366,385,Brabanter Straße 23,1,Neustadt/Nord,1,Brabanter Str. 23,6.937427671129514,50.93856663351564,disabled parking slot
367,386,Brückenstr. 19,1,Altstadt/Nord,1,Brückenstr. 19,6.954579366952199,50.93815046345356,disabled parking slot
368,388,Haselnußweg geg. Zypressenstr.,6,Heimersdorf,1,Haselnußweg geg. Zypressenstr.,6.90612501075777,51.01185136679543,disabled parking slot
369,389,Liverpooler Platz,6,Chorweiler,8,Liverpooler Platz,6.898282975237731,51.02171880229286,disabled parking slot
370,390,Taborplatz,6,Heimersdorf,2,Taborplatz,6.905009472821314,51.011163187131665,disabled parking slot
371,391,Volkhovener Weg in Höhe Damiansapotheke,6,Heimersdorf,1,Volkhovener Weg in Höhe Damiansapotheke,6.896069431468107,51.0101490386965,disabled parking slot
372,392,Volkhovener Weg/Stallagsweg,6,Heimersdorf,2,Volkhovener Weg/Stallagsweg,6.895405123258184,51.01080237781866,disabled parking slot
373,641,Salmstr. 7,7,Poll,1,Salmstr. (vor Hausnummer 7),6.992061567816724,50.91526008135623,disabled parking slot
374,642,Josefstr. (Sanitätshaus),7,Porz,1,Josefstr. 20,7.058017180081881,50.88588553317387,disabled parking slot
